,Experiment,Bar,min_row,min_col,max_row,max_col,Orientation,Width,Length,Bra_init_mean,Bra_init_std,Bra_final_mean,Bra_final_std,H2B_init_mean,H2B_init_std,H2B_final_mean,H2B_final_std,Ncells_init,Ncells_final,frame0
59,20240320,14,481,209,654,253,vertical,44,173,3598.46762151268,1529.090733217381,2407.798470204612,1153.0433921600682,10260.604304315097,2504.8095240842317,11895.754290602155,1987.041347287786,118.0,94.0,20.0
60,20240320,15,761,652,934,696,vertical,44,173,4136.337572045705,2064.687798318896,3025.136829661484,2033.385522083202,10939.53018651592,2209.530154612544,12296.37408718073,2491.440597339548,121.0,109.0,20.0
61,20240320,16,761,804,891,848,vertical,44,130,4122.220379578505,1222.2029216699964,3253.836682953837,1640.4208410480376,11424.839249572586,2363.6134082941144,12409.512985895242,2180.0818597449183,102.0,82.0,20.0
62,20240320,17,763,57,893,101,vertical,44,130,3616.4155252074215,1586.927325594368,2632.872684014104,1063.1737872178028,10897.874466719775,2587.726700974385,13065.182576664556,2221.067206109869,121.0,116.0,20.0
63,20240320,18,763,946,893,990,vertical,44,130,3973.971018701282,1177.0051874670298,2871.659964380146,1323.3864509007417,10998.089033921971,2244.8129031953576,12237.95701359491,2150.194876824336,87.0,86.0,20.0
64,20240320,19,765,361,895,405,vertical,44,130,4346.459693443056,1371.157299684176,3461.791870328639,1701.4290311584973,11239.731343957412,2082.582293164628,12565.07266604182,2088.441397161489,96.0,93.0,20.0
65,20240320,20,765,503,895,547,vertical,44,130,3576.5954733364124,1410.015969297968,2431.81159977812,959.3889701860168,9770.841226089298,2431.72831355728,10586.83188127704,2238.8607597748883,59.0,40.0,20.0
66,20240320,21,768,208,941,252,vertical,44,173,3752.985531358445,1364.6264365924155,3670.831738827052,1790.9063824349073,11295.294457879918,2418.054270884837,13255.505124435656,2365.39987058874,127.0,146.0,20.0
67,20240320,22,1001,948,1218,992,vertical,44,217,3208.396426402268,907.187419611668,2838.6751628288084,1276.132716278706,9423.505621002832,2204.516797786732,11749.914894096724,2290.23929385388,103.0,122.0,20.0
68,20240320,23,1005,58,1222,102,vertical,44,217,3431.348036226846,1017.3441684751216,2875.443362464655,1178.057568058749,9442.931793157752,2174.4399241167857,11448.217568891982,2628.51416336028,121.0,126.0,20.0
69,20240320,24,1005,360,1222,404,vertical,44,217,3785.862502822727,1149.0820979205253,2714.5899546174537,1138.72261434985,10415.872091561258,2035.5877463106128,11469.18805311704,2047.189434823468,139.0,130.0,20.0
70,20240320,25,1005,502,1222,546,vertical,44,217,3768.13815034699,1629.1188589849844,2644.397784212201,1183.0056699622533,10074.8953298481,1925.7942134267732,11000.017961258296,2069.354326371095,173.0,127.0,20.0
71,20240320,26,1005,802,1222,846,vertical,44,217,3233.456028705289,1085.473163821469,2155.55967707544,1080.2730630721426,9656.14778164693,1903.1406838926343,11302.368385568878,2573.116806948012,120.0,114.0,20.0
72,20240320,27,1046,207,1219,251,vertical,44,173,4073.961670001688,1135.5809500813568,3192.9676428470184,1265.232484619311,10725.405622212404,1992.560569600596,11917.060408471389,2306.7895295090725,151.0,113.0,20.0
73,20240320,28,1057,653,1230,697,vertical,44,173,2710.0311985008634,710.954213845178,2432.263703296258,908.4602947718686,7350.219797801719,1617.3802115664569,11082.187574801785,2192.5022098262707,56.0,106.0,20.0
74,20240320,29,1331,358,1461,402,vertical,44,130,3948.0278772552015,1284.927635958477,2654.271042216405,1072.0469535102325,11443.59757173534,1787.0525854059892,12575.61181673977,2087.9960933950997,93.0,84.0,20.0
75,20240320,30,1331,944,1461,988,vertical,44,130,3231.1938716690297,916.3504274572812,2011.419497469201,593.7316996546854,9297.803120294986,2533.5441676140963,10761.016102090956,2506.225554682625,42.0,37.0,20.0
76,20240320,31,1333,649,1506,693,vertical,44,173,3726.252707111613,1623.785310173896,2205.93522725107,842.6174719997862,9499.772550494554,1849.8290855008856,11065.304738966868,2330.6612540242854,74.0,60.0,20.0
77,20240320,32,1335,207,1508,251,vertical,44,173,4006.236214169227,1690.5961816334943,2614.156392985175,957.1838073412944,10426.388043704244,2485.032249714515,12539.857899828696,2312.929552416721,96.0,71.0,20.0
78,20240320,33,1335,498,1465,542,vertical,44,130,3812.9915237231553,1176.5406175454527,2932.490839896279,986.9791448973504,10401.642562590188,2002.9013577910648,10851.222625129636,2101.6636544256708,84.0,52.0,20.0
79,20240320,34,1337,54,1467,98,vertical,44,130,4091.482026895051,1206.174028232129,3686.075100486544,1100.314634160532,11005.882740215931,2183.1724040393897,12178.657585706034,2319.231333327828,133.0,95.0,20.0
80,20240320,35,1339,804,1469,848,vertical,44,130,3139.066574998272,895.9948005241789,2090.013731446464,783.4571742641733,8755.699196557181,2156.503496791617,10941.970051335264,2328.0323520065376,42.0,35.0,20.0
81,20240320,36,1566,948,1783,992,vertical,44,217,3211.637437260172,1039.674998003759,2525.683362907503,1088.4386086905206,8910.150368526929,2368.562217528745,11239.777557949,2636.089295475315,78.0,87.0,20.0
82,20240320,37,1570,802,1787,846,vertical,44,217,3788.5274647235688,939.9820546362648,2762.564057467983,1064.9045398716655,9328.22066683154,1868.5557201961465,11246.164954040809,2229.400061936251,113.0,94.0,20.0
83,20240320,38,1575,59,1792,103,vertical,44,217,3642.389237294388,1084.6593865376158,2555.5925650800214,1372.547353815034,9476.946044160895,2008.3652388024016,11412.627376912664,2251.3511462612664,133.0,87.0,20.0
84,20240320,39,1576,363,1793,407,vertical,44,217,3811.361084743548,1267.3104931658847,2643.2046440497493,920.748758402022,10508.961961362656,2288.1631424604234,12435.180165218037,2273.4746369627665,125.0,89.0,20.0
85,20240320,40,1576,502,1793,546,vertical,44,217,2885.6967748127136,922.7722619511688,2313.4218287918484,1036.912430223779,8297.056216064882,2187.820013681869,11283.3506317077,2863.200451749936,98.0,89.0,20.0
86,20240320,41,1619,211,1792,255,vertical,44,173,2775.954839184499,741.259249405489,1988.8248305914012,555.2360598671734,8063.364079281589,1851.7830428967477,9947.90897752168,1677.4611469187796,50.0,38.0,20.0
87,20240320,42,1620,652,1793,696,vertical,44,173,3976.489543942309,1544.1513133332423,2867.3802121584063,1306.8626739535202,10056.40070825768,2180.536564830472,11045.252590436085,2623.4378587041483,91.0,73.0,20.0
88,20240320,43,1899,502,2029,546,vertical,44,130,3758.1636573742585,1136.872908318854,2625.600825340196,1110.005582799998,9878.242348500906,2150.543633289128,11095.98508686814,2757.734136549718,59.0,48.0,20.0
89,20240320,44,1900,653,2073,697,vertical,44,173,3141.4382607125017,991.2561149545944,2343.393161998561,845.0071700039526,9260.102932517097,2079.6046633815004,10943.46811319778,2233.969425725811,66.0,51.0,20.0
90,20240320,45,1901,58,2031,102,vertical,44,130,3595.098356457307,1187.6394285745744,2304.1409812144034,909.6724085317176,11225.21435089766,2575.4087539272937,12598.722072385568,2643.6376702159178,118.0,75.0,20.0
91,20240320,46,1902,208,2075,252,vertical,44,173,3050.10251312552,1324.078877851662,1902.3409034148865,528.7054979533237,9704.173590214265,3453.582665797588,11162.825082068352,2405.748931273504,27.0,22.0,20.0
92,20240320,47,1903,362,2033,406,vertical,44,130,4298.28654623418,1003.27259853469,3142.7652054654664,1103.8071678359636,10594.061690089771,2420.5147138413327,12256.896146790452,2234.0127069798536,62.0,55.0,20.0
93,20240320,48,1903,808,2033,852,vertical,44,130,3735.3695289180255,1930.8183095555612,2313.867096044932,1395.245759013551,9935.304050567203,2384.1142092307764,11178.273999146151,2507.626689351344,52.0,30.0,20.0
94,20240320,49,1903,946,2033,990,vertical,44,130,2671.53619077934,752.242486012935,1855.762651599412,427.4107725667049,7506.650901511447,2033.966370307201,9240.595192874043,1487.6106039247106,31.0,26.0,20.0
95,20240320,50,2137,948,2354,992,vertical,44,217,3215.4834770362054,932.6984433382032,2085.6508877386545,619.9447236776514,8549.808074184286,2061.4111530239256,10284.108444894287,2271.6861734015824,61.0,48.0,20.0
96,20240320,51,2138,503,2355,547,vertical,44,217,3356.6681209706576,1132.4982813126098,2594.2473162384185,1456.841286925765,9431.13304711739,2269.771010807286,10759.456315844269,1990.065061510156,118.0,102.0,20.0
97,20240320,52,2138,805,2355,849,vertical,44,217,3430.468930926844,949.229620311762,2061.259749325593,679.9048883464421,9483.526416612938,1970.92829397188,11081.969353049397,2658.8092838899947,94.0,44.0,20.0
98,20240320,53,2140,58,2357,102,vertical,44,217,3461.755023846326,1202.7714182789982,2365.628737927894,844.3150660638012,9334.938465584124,2511.320579057434,10256.880413676809,2113.0015435249634,84.0,39.0,20.0
99,20240320,54,2145,365,2362,409,vertical,44,217,3373.588505091297,1158.271618627972,2724.0905073984104,1049.583633981739,9459.388004084114,2220.600082823641,11724.838370345276,2204.4150508290827,76.0,41.0,20.0
