,alpha,L,beta_factor,rho0,poltime_mode,poltime_dscore
4881,15.0,3.746153846153846,1.5,0.4,75.0751,55.0551
4882,15.0,3.746153846153846,1.5,0.4,60.0601,40.04
4883,15.0,3.746153846153846,1.5,0.4,100.1001,75.0751
4884,15.0,3.746153846153846,1.5,0.4,115.1151,90.0901
4885,15.0,3.746153846153846,1.5,0.4,95.0951,70.0701
4886,15.0,3.746153846153846,1.5,0.4,85.0851,60.0601
4887,15.0,3.746153846153846,1.5,0.4,80.0801,60.0601
4888,15.0,3.746153846153846,1.5,0.4,95.0951,75.0751
4889,15.0,3.746153846153846,1.5,0.4,90.0901,70.0701
4890,15.0,3.746153846153846,1.5,0.4,80.0801,60.0601
4891,15.0,3.746153846153846,1.5,0.4,150.1502,125.1251
4892,15.0,3.746153846153846,1.5,0.4,90.0901,70.0701
4893,15.0,3.746153846153846,1.5,0.4,80.0801,55.0551
4894,15.0,3.746153846153846,1.5,0.4,60.0601,40.04
4895,15.0,3.746153846153846,1.5,0.4,70.0701,45.045
4896,15.0,3.746153846153846,1.5,0.4,85.0851,60.0601
4897,15.0,3.746153846153846,1.5,0.4,80.0801,60.0601
4898,15.0,3.746153846153846,1.5,0.4,100.1001,80.0801
4899,15.0,3.746153846153846,1.5,0.4,90.0901,70.0701
5400,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5401,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5402,15.0,3.948717948717949,1.0,0.4,15.015,10.01
5403,15.0,3.948717948717949,1.0,0.4,35.035,25.025
5404,15.0,3.948717948717949,1.0,0.4,15.015,5.005
5405,15.0,3.948717948717949,1.0,0.4,10.01,5.005
5406,15.0,3.948717948717949,1.0,0.4,15.015,10.01
5407,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5408,15.0,3.948717948717949,1.0,0.4,15.015,10.01
5409,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5410,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5411,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5412,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5413,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5414,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5415,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5416,15.0,3.948717948717949,1.0,0.4,15.015,10.01
5417,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5418,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5419,15.0,3.948717948717949,1.0,0.4,10.01,0.0
5420,15.0,3.948717948717949,1.0,0.4,15.015,5.005
5421,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5422,15.0,3.948717948717949,1.0,0.4,10.01,5.005
5423,15.0,3.948717948717949,1.0,0.4,15.015,10.01
5424,15.0,3.948717948717949,1.0,0.4,50.0501,40.04
5425,15.0,3.948717948717949,1.0,0.4,25.025,20.02
5426,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5427,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5428,15.0,3.948717948717949,1.0,0.4,15.015,5.005
5429,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5430,15.0,3.948717948717949,1.0,0.4,15.015,10.01
5431,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5432,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5433,15.0,3.948717948717949,1.0,0.4,25.025,15.015
5434,15.0,3.948717948717949,1.0,0.4,25.025,20.02
5435,15.0,3.948717948717949,1.0,0.4,10.01,5.005
5436,15.0,3.948717948717949,1.0,0.4,70.0701,65.0651
5437,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5438,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5439,15.0,3.948717948717949,1.0,0.4,10.01,5.005
5440,15.0,3.948717948717949,1.0,0.4,10.01,5.005
5441,15.0,3.948717948717949,1.0,0.4,30.03,20.02
5442,15.0,3.948717948717949,1.0,0.4,10.01,5.005
5443,15.0,3.948717948717949,1.0,0.4,10.01,5.005
5444,15.0,3.948717948717949,1.0,0.4,15.015,5.005
5445,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5446,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5447,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5448,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5449,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5450,15.0,3.948717948717949,1.0,0.4,15.015,10.01
5451,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5452,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5453,15.0,3.948717948717949,1.0,0.4,40.04,30.03
5454,15.0,3.948717948717949,1.0,0.4,25.025,20.02
5455,15.0,3.948717948717949,1.0,0.4,15.015,5.005
5456,15.0,3.948717948717949,1.0,0.4,20.02,10.01
5457,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5458,15.0,3.948717948717949,1.0,0.4,0.0,0.0
5459,15.0,3.948717948717949,1.0,0.4,5.005,0.0
5460,15.0,3.948717948717949,1.0,0.4,15.015,5.005
