,Unnamed: 0,t,dominant_mode,dscore,amplitude,is_polarized_mode,is_polarized_dscore,pattern_group,alpha,L,beta_factor,rho0
142333,4,2.4242424242424243,1.25,0.5129879789698156,0.9676574993615122,False,True,3,20.0,3.1724137931034484,1.0,0.4
142366,4,2.4242424242424243,0.5,0.665981411485144,0.9719554553372376,True,True,1,20.0,3.1724137931034484,1.0,0.4
142399,4,2.4242424242424243,1.25,0.123063854025125,0.9382849318547324,False,False,3,20.0,3.1724137931034484,1.0,0.4
142432,4,2.4242424242424243,0.5,0.6002823194339342,0.9697616690617176,True,True,1,20.0,3.1724137931034484,1.0,0.4
142465,4,2.4242424242424243,0.5,0.9172732555310924,0.9439991766423308,True,True,1,20.0,3.1724137931034484,1.0,0.4
142498,4,2.4242424242424243,1.25,0.5222698887480961,0.968216372401802,False,True,3,20.0,3.1724137931034484,1.0,0.4
142531,4,2.4242424242424243,0.5,0.8593119261139991,0.9434444028283234,True,True,1,20.0,3.1724137931034484,1.0,0.4
142564,4,2.4242424242424243,0.5,0.5950160442421457,0.9709257772928304,True,True,1,20.0,3.1724137931034484,1.0,0.4
142597,4,2.4242424242424243,0.5,0.9079537822602144,0.9711648787734684,True,True,1,20.0,3.1724137931034484,1.0,0.4
142630,4,2.4242424242424243,1.25,0.0808642005794078,0.931899172005503,False,False,3,20.0,3.1724137931034484,1.0,0.4
142663,4,2.4242424242424243,0.5,0.9494097911362664,0.9542969351915206,True,True,1,20.0,3.1724137931034484,1.0,0.4
142696,4,2.4242424242424243,0.5,0.85073723980303,0.943742981805533,True,True,1,20.0,3.1724137931034484,1.0,0.4
142729,4,2.4242424242424243,0.5,0.7767091563831787,0.9767618906348278,True,True,1,20.0,3.1724137931034484,1.0,0.4
142762,4,2.4242424242424243,1.0,0.3368859646083171,0.9539518240930582,False,True,2,20.0,3.1724137931034484,1.0,0.4
142795,4,2.4242424242424243,1.25,0.153903781183255,0.9431682624633244,False,False,3,20.0,3.1724137931034484,1.0,0.4
