,alpha,L,beta_factor,rho0,poltime_mode_mean,poltime_mode_std,poltime_mode_count,poltime_dscore_mean,poltime_dscore_std,poltime_dscore_count
94,20.0,1.517948717948718,0.5,0.4,2.8027999999999995,2.784395126813402,100,3.1031,2.7348826706500997,100
95,20.0,1.517948717948718,0.8,0.4,0.2002,0.9857166597624964,100,0.15015,0.8580902730288152,100
96,20.0,1.517948717948718,1.2,0.4,0.05005,0.5005000000000001,100,0.1001,0.7042299971521299,100
97,20.0,1.7205128205128206,0.8,0.4,0.15015,0.8580902730288154,100,0.0,0.0,100
98,20.0,1.7205128205128206,1.0,0.4,0.2002,0.9857166597624967,100,0.0,0.0,100
99,20.0,1.7205128205128206,1.2,0.4,0.1001,0.7042299971521301,100,0.0,0.0,100
100,20.0,1.7205128205128206,1.5,0.4,0.35034999999999994,1.2834441618810948,100,0.05005,0.5005,100
101,20.0,1.9230769230769231,0.5,0.4,0.8508499999999999,1.8895134661835278,100,0.3003,1.1946096991625899,100
102,20.0,1.9230769230769231,0.8,0.4,0.1001,0.70422999715213,100,0.0,0.0,100
103,20.0,1.9230769230769231,1.0,0.4,0.1001,0.70422999715213,100,0.0,0.0,100
104,20.0,1.9230769230769231,1.2,0.4,0.05005,0.5005000000000001,100,0.0,0.0,100
105,20.0,1.9230769230769231,1.5,0.4,1.05105,2.0488477046053637,100,0.3003,1.1946096991625899,100
106,20.0,2.1256410256410256,0.5,0.4,1.6016,2.3464749921720642,100,0.9009,1.9325452129251726,100
107,20.0,2.1256410256410256,1.2,0.4,0.25025,1.0963097823557397,100,0.05005,0.5005,100
108,20.0,2.1256410256410256,1.5,0.4,2.3023,2.507045871139976,100,1.001,2.0120857061489423,100
109,20.0,2.3282051282051284,0.5,0.4,3.6536500000000003,2.741812868442257,100,1.6516499999999998,2.4699325283182216,100
110,20.0,2.3282051282051284,0.8,0.4,0.35034999999999994,1.2834441618810948,100,0.1001,0.70422999715213,100
111,20.0,2.3282051282051284,1.0,0.4,0.1001,0.7042299971521301,100,0.0,0.0,100
112,20.0,2.3282051282051284,1.2,0.4,0.4004,1.364662921343175,100,0.1001,0.7042299971521299,100
113,20.0,2.3282051282051284,1.5,0.4,6.35635,3.248677341968916,100,4.5045,3.4485411569402955,100
114,20.0,2.530769230769231,0.5,0.4,6.756749999999999,2.965267577395935,100,4.45445,3.5494212712935482,100
115,20.0,2.530769230769231,0.8,0.4,0.65065,1.6916783332931031,100,0.2002,0.9857166597624966,100
116,20.0,2.530769230769231,1.0,0.4,0.25025,1.0963097823557395,100,0.0,0.0,100
117,20.0,2.530769230769231,1.2,0.4,2.8528499999999997,2.7784820046205088,100,1.55155,2.432773046226147,100
118,20.0,2.530769230769231,1.5,0.4,12.012,4.268278341439321,100,9.1091,4.6310765367124835,100
119,20.0,2.7333333333333334,0.5,0.4,11.36135,5.268774264475561,100,7.85785,5.382799356902192,100
120,20.0,2.7333333333333334,0.8,0.4,2.8528499999999997,3.039431786260934,100,1.55155,2.432773046226147,100
